X,Micros
0.0,4
0.0,1224
0.0,2424
-0.01,3656
-0.02,6700
0.0,8140
-0.02,12044
-0.02,13320
-0.03,14608
-0.09,17400
-0.13,19528
-0.18,21532
-0.23,23880
-0.31,26900
-0.36,29208
-0.39,30952
-0.46,33872
-0.51,36176
-0.6,39712
-0.65,41872
-0.73,45024
-0.76,47708
-0.81,49896
-0.87,52624
-0.94,55404
-1.0,57760
-1.06,60208
-1.12,62892
-1.16,65180
-1.22,67796
-1.28,70472
-1.36,73544
-1.42,75980
-1.49,79072
-1.53,81852
-1.6,84908
-1.66,87448
-1.73,90188
-1.79,92672
-1.85,95112
-1.9,97380
-1.96,99948
-2.02,102360
-2.09,105120
-2.15,107560
-2.21,110160
-2.27,112760
-2.32,115944
-2.38,118264
-2.44,120960
-2.51,123652
-2.58,126512
-2.64,128960
-2.68,131768
-2.73,134044
-2.8,136936
-2.87,139624
-2.92,141832
-2.99,144552
-3.07,147844
-3.13,150428
-3.19,153048
-3.26,155756
-3.32,158240
-3.38,160724
-3.44,163288
-3.51,166088
-3.56,168376
-3.63,170968
-3.69,173492
-3.76,176420
-3.81,178672
-3.85,181608
-3.88,184256
-3.9,185592
-3.92,189404
-3.97,191532
-4.02,193568
-4.08,196144
-4.14,198676
-4.2,201368
-4.26,203704
-4.32,206176
-4.38,208520
-4.43,210792
-4.5,213728
-4.55,215868
-4.6,218100
-4.67,220648
-4.72,223032
-4.79,225676
-4.84,227892
-4.88,230904
-4.91,232732
-4.97,235480
-5.01,237396
-5.1,240612
-5.15,242916
-5.2,245168
-5.27,247896
-5.32,250320
-5.38,252720
-5.45,255408
-5.5,257728
-5.57,260604
-5.63,262896
-5.69,265472
-5.75,268124
-5.8,270396
-5.87,273068
-5.92,275328
-5.98,277904
-6.05,280516
-6.1,282676
-6.16,285356
-6.21,287516
-6.28,290364
-6.35,292908
-6.4,295132
-6.43,296976
-6.48,299064
-6.54,301396
-6.6,303812
-6.67,306564
-6.72,308712
-6.77,311076
-6.8,313632
-6.85,315704
-6.92,318656
-6.97,320572
-7.03,323276
-7.09,325652
-7.14,327796
-7.2,330184
-7.25,332480
-7.31,334856
-7.37,337144
-7.43,339840
-7.48,341988
-7.54,344368
-7.61,347276
-7.67,349596
-7.73,352056
-7.77,354128
-7.84,356796
-7.91,359632
-7.96,361748
-8.02,365224
-8.09,367836
-8.14,369972
-8.21,372880
-8.26,374996
-8.32,377356
-8.34,380184
-8.39,382252
-8.44,384516
-8.52,387496
-8.57,389812
-8.63,392280
-8.69,394516
-8.75,397072
-8.82,399792
-8.86,401840
-8.91,403992
-8.98,406864
-9.03,408988
-9.09,411328
-9.13,414624
-9.19,416816
-9.26,419852
-9.31,421932
-9.37,424288
-9.43,426932
-9.5,429708
-9.55,431876
-9.62,434804
-9.67,437000
-9.75,439888
-9.8,442124
-9.85,444380
-9.89,446488
-9.94,448784
-9.99,450932
-10.06,453700
-10.12,456284
-10.18,458636
-10.23,460840
-10.31,463816
-10.36,466032
-10.42,468516
-10.47,470776
-10.53,473388
-10.6,476048
-10.66,478404
-10.72,480904
-10.78,483420
-10.85,486264
-10.91,488872
-10.97,491232
-11.02,493416
-11.08,496008
-11.14,498232
-11.2,500636
-11.26,503408
-11.32,505828
-11.37,507992
-11.44,510652
-11.48,513560
-11.53,515636
-11.54,517004
-11.56,520036
-11.57,521456
-11.59,524212
-11.61,525636
-11.62,528316
-11.63,529744
-11.64,531460
-11.65,532900
-11.69,535604
-11.7,537080
-11.72,539804
-11.73,541180
-11.75,544024
-11.77,545436
-11.8,548148
-11.81,549564
-11.84,552100
-11.85,553584
-11.88,555416
-11.89,556776
-11.92,559076
-11.97,561188
-12.01,563168
-12.06,565244
-12.08,567964
-12.13,570136
-12.19,572444
-12.25,574820
-12.31,577456
-12.36,579544
-12.42,581972
-12.48,584564
-12.53,586672
-12.59,589072
-12.64,591368
-12.7,593668
-12.76,596292
-12.82,598612
-12.87,600804
-12.93,603224
-12.98,605468
-13.03,607700
-13.1,610416
-13.14,612380
-13.21,614968
-13.27,617512
-13.32,619616
-13.37,621900
-13.43,624516
-13.5,626984
-13.55,629172
-13.6,631424
-13.66,633824
-13.73,636584
-13.77,638656
-13.82,640668
-13.89,643516
-13.95,646012
-14.0,648128
-14.06,650612
-14.12,652948
-14.17,655272
-14.23,657732
-14.28,659724
-14.34,662048
-14.4,664840
-14.45,666844
-14.5,669136
-14.55,671440
-14.61,673892
-14.67,676264
-14.72,678524
-14.77,680756
-14.84,683432
-14.87,686092
-14.93,688456
-14.99,691104
-15.04,693184
-15.1,695700
-15.16,698096
-15.2,700024
-15.27,702700
-15.32,704948
-15.38,707356
-15.43,709656
-15.5,712264
