X,Micros
0.0,4
0.0,1288
0.0,2568
-0.0,3848
-0.01,5124
-0.01,6404
-0.02,7688
-0.04,9168
-0.06,10808
-0.08,12368
-0.09,13744
-0.1,15116
-0.11,16456
-0.12,17836
-0.13,19232
-0.15,20936
-0.16,22292
-0.17,23616
-0.18,25004
-0.19,26408
-0.2,27828
-0.22,29268
-0.23,30688
-0.24,32020
-0.25,33424
-0.26,34812
-0.27,36136
-0.28,37580
-0.29,39032
-0.3,40356
-0.31,41692
-0.32,43108
-0.34,44484
-0.35,45896
-0.36,47328
-0.37,48760
-0.38,50080
-0.39,51476
-0.4,52804
-0.42,54240
-0.43,55624
-0.44,56972
-0.45,58396
-0.46,59732
-0.47,61116
-0.48,62492
-0.49,63884
-0.5,65276
-0.52,66656
-0.53,68048
-0.54,69444
-0.55,70832
-0.56,72276
-0.57,73616
-0.58,75008
-0.59,76376
-0.61,77808
-0.62,79236
-0.63,80580
-0.64,81972
-0.65,83364
-0.66,84788
-0.67,86192
-0.69,87680
-0.7,89056
-0.71,90508
-0.72,91912
-0.73,93296
-0.74,94676
-0.75,96068
-0.76,97452
-0.77,98836
-0.78,100240
-0.8,101648
-0.81,103044
-0.82,104488
-0.83,105868
-0.85,107344
-0.86,108740
-0.87,110136
-0.88,111532
-0.89,112968
-0.9,114360
-0.91,115744
-0.92,117172
-0.93,118564
-0.95,120120
-0.96,121596
-0.97,122920
-0.98,124300
-0.99,125692
-1.0,127072
-1.02,128508
-1.02,129896
-1.04,131296
-1.05,132736
-1.06,134128
-1.07,135524
-1.08,136976
-1.09,138416
-1.1,139752
-1.12,141156
-1.13,142592
-1.14,143992
-1.15,145372
-1.16,146752
-1.17,148196
-1.18,149584
-1.19,150960
-1.21,152412
-1.22,153812
-1.23,155196
-1.24,156600
-1.25,157988
-1.26,159420
-1.27,160744
-1.29,162192
-1.3,163596
-1.31,164988
-1.32,166376
-1.33,167824
-1.34,169160
-1.36,170744
-1.37,172112
-1.38,173496
-1.39,174836
-1.4,176292
-1.41,177716
-1.42,179132
-1.43,180460
-1.44,181880
-1.46,183320
-1.47,184660
-1.48,186072
-1.49,187516
-1.5,188900
-1.51,190296
-1.52,191688
-1.53,193092
-1.54,194540
-1.55,195924
-1.57,197328
-1.58,198724
-1.59,200140
-1.6,201508
-1.61,202884
-1.62,204272
-1.63,205728
-1.65,207120
-1.66,208520
-1.67,209904
-1.68,211244
-1.69,212664
-1.7,214052
-1.71,215416
-1.72,216832
-1.73,218212
-1.75,219656
-1.76,221164
-1.77,222544
-1.78,223936
-1.79,225312
-1.8,226708
-1.82,228108
-1.83,229492
-1.84,230884
-1.85,232336
-1.86,233732
-1.87,235056
-1.88,236456
-1.89,237892
-1.9,239228
-1.91,240624
-1.92,241964
-1.94,243408
-1.95,244796
-1.96,246192
-1.97,247636
-1.98,249076
-1.99,250412
-2.0,251844
-2.01,253220
-2.03,254628
-2.04,255976
-2.05,257372
-2.06,258768
-2.07,260144
-2.08,261516
-2.09,262900
-2.1,264288
-2.11,265684
-2.13,267136
-2.14,268528
-2.15,269976
-2.16,271368
-2.17,272744
