X,Micros
-9.9,629872
-9.93,631456
-9.96,633028
-9.98,634568
-10.0,636092
-10.03,637608
-10.05,639228
-10.08,640780
-10.1,642372
-10.13,643908
-10.15,645452
-10.18,647000
-10.2,648576
-10.22,650384
-10.25,652016
-10.27,653480
-10.3,655100
-10.32,656560
-10.34,658024
-10.37,659652
-10.39,661176
-10.42,662784
-10.45,664416
-10.47,665952
-10.49,667436
-10.52,669008
-10.55,670636
-10.57,672232
-10.59,673712
-10.61,675500
-10.64,677140
-10.66,678628
-10.69,680236
-10.71,681848
-10.74,683428
-10.76,685020
-10.79,686536
-10.81,687996
-10.84,689696
-10.86,691200
-10.89,692724
-10.91,694316
-10.93,695784
-10.96,697324
-10.98,698872
-11.0,700452
-11.03,702176
-11.06,703696
-11.08,705228
-11.1,706688
-11.13,708224
-11.15,709836
-11.18,711472
-11.21,712992
-11.23,714632
-11.26,716092
-11.28,717660
-11.31,719232
-11.33,720872
-11.36,722392
-11.38,723952
-11.4,725520
-11.42,727068
-11.44,728476
-11.47,730116
-11.5,731744
-11.52,733340
-11.55,734948
-11.57,736408
-11.59,737960
-11.62,739560
-11.65,741144
-11.67,742736
-11.7,744352
-11.72,745856
-11.74,747416
-11.77,749000
-11.8,750592
-11.82,752232
-11.85,753796
-11.87,755324
-11.9,756904
-11.92,758404
-11.95,760024
-11.98,761668
-12.0,763252
-12.03,764820
-12.05,766328
-12.07,767804
-12.1,769408
-12.13,770992
-12.15,772544
-12.18,774148
-12.19,775656
-12.21,777172
-12.24,778696
-12.26,780260
-12.29,781852
-12.32,783396
-12.34,784984
-12.36,786496
-12.39,787960
-12.41,789592
-12.44,791116
-12.46,792708
-12.49,794396
-12.52,795932
-12.54,797444
-12.56,799032
-12.59,800748
-12.61,802248
-12.63,803820
-12.66,805376
-12.69,806972
-12.71,808492
-12.73,810008
-12.76,811588
-12.79,813224
-12.81,814808
-12.83,816260
-12.86,817804
-12.88,819404
-12.91,820972
-12.93,822492
-12.96,824032
-12.98,825560
-13.01,827144
-13.03,828644
-13.05,830148
-13.08,831724
-13.11,833300
-13.13,834856
-13.16,836364
-13.18,837880
-13.21,839492
-13.23,841048
-13.25,842560
-13.28,844136
-13.31,845708
-13.33,847208
-13.35,848688
-13.38,850244
-13.4,851924
-13.43,853440
-13.46,855052
-13.48,856640
-13.5,858152
-13.53,859732
-13.55,861184
-13.58,862784
-13.61,864460
-13.63,865972
-13.65,867508
-13.68,869056
-13.7,870572
-13.73,872140
-13.75,873688
-13.77,875260
-13.79,876824
-13.82,878280
-13.84,879860
-13.86,881372
-13.89,882936
-13.92,884584
-13.94,886156
-13.97,887616
-13.99,889236
-14.02,890804
-14.04,892320
-14.07,893884
-14.09,895404
-14.12,896972
-14.14,898500
-14.16,900072
-14.19,901684
-14.21,903160
-14.24,904804
-14.27,906396
-14.29,907920
-14.32,909488
-14.34,910996
-14.36,912516
-14.39,914156
-14.42,915728
-14.44,917256
-14.47,918768
-14.49,920356
-14.51,921916
-14.54,923428
-14.57,925004
-14.59,926640
-14.62,928212
-14.64,929772
-14.67,931336
-14.69,932916
-14.72,934544
-14.74,936088
-14.77,937652
-14.8,939328
-14.82,940896
-14.85,942404
-14.87,944028
-14.9,945580
-14.92,947092
-14.95,948668
-14.98,950524
-15.0,952000
-15.03,953524
-15.05,955108
-15.08,956688
-15.1,958204
-15.13,959708
-15.15,961220
-15.18,962796
-15.2,964460
-15.23,965972
-15.25,967488
-15.28,969084
-15.3,970656
-15.32,972124
-15.35,973696
-15.38,975160
-15.4,976768
-15.43,978300
-15.45,979868
-15.48,981380
-15.5,982924
-15.53,984528
-15.55,986124
-15.58,987620
-15.6,989244
-15.63,990796
-15.65,992248
-15.68,993852
-15.7,995392
-15.73,997016
-15.75,998604
-15.77,999896
-15.79,1001436
-15.82,1002964
-15.84,1004488
-15.87,1006044
-15.89,1007612
-15.92,1009192
-15.94,1010708
-15.97,1012288
-16.0,1013856
-16.02,1015440
-16.04,1016952
-16.07,1018568
-16.09,1020016
-16.12,1021572
-16.15,1023216
-16.17,1025340
-16.19,1026860
-16.22,1028384
-16.24,1029900
-16.27,1031416
-16.29,1033040
-16.32,1034544
-16.34,1036104
-16.37,1037664
-16.39,1039232
-16.42,1040852
-16.44,1042380
-16.47,1043976
-16.49,1045548
-16.52,1047068
-16.54,1048640
-16.57,1050284
-16.59,1051752
-16.62,1053284
-16.64,1054840
-16.67,1056384
-16.69,1057932
-16.72,1059448
-16.74,1061048
-16.77,1062596
-16.79,1064124
-16.81,1065652
-16.84,1067156
-16.86,1068796
-16.89,1070348
-16.91,1071880
-16.94,1073796
-16.97,1075616
-16.99,1077112
-17.02,1078688
-17.05,1080260
-17.07,1081712
-17.09,1083256
-17.12,1084800
-17.14,1086412
-17.17,1087932
-17.19,1089492
-17.22,1091004
-17.24,1092548
-17.27,1094120
-17.29,1095624
-17.31,1097092
-17.33,1098980
-17.36,1100820
-17.39,1102292
-17.41,1103872
-17.44,1105444
-17.46,1107008
-17.49,1108688
-17.52,1110236
-17.54,1111748
-17.57,1113360
-17.59,1114816
-17.61,1116340
-17.64,1117864
-17.66,1119480
-17.69,1120996
-17.71,1122556
-17.73,1124268
-17.76,1125892
-17.78,1127344
-17.8,1128920
-17.83,1130520
-17.86,1132128
-17.88,1133780
-17.91,1135316
-17.93,1136772
-17.95,1138348
-17.98,1139884
-18.0,1141460
-18.03,1143016
-18.05,1144536
-18.07,1146052
-18.1,1147568
-18.12,1149220
-18.15,1151180
-18.18,1152704
-18.2,1154328
-18.23,1155892
-18.25,1157396
-18.28,1159004
-18.3,1160568
-18.33,1162096
-18.35,1163672
-18.37,1165140
-18.4,1166644
-18.43,1168272
-18.45,1169912
-18.48,1171484
-18.5,1173036
-18.53,1174632
