X,Micros
24.56,1065224
24.62,1067744
24.68,1070024
24.73,1072184
24.8,1074836
24.84,1077204
24.9,1079452
24.96,1081960
25.02,1084508
25.08,1086908
25.14,1089296
25.19,1091616
25.22,1093080
25.27,1095380
25.34,1097976
25.39,1100256
25.45,1102708
25.5,1104948
25.57,1107544
25.63,1110548
25.68,1112804
25.75,1115424
25.8,1117568
25.85,1119708
25.91,1122176
25.97,1124576
26.02,1127000
26.07,1129204
26.12,1131336
26.17,1133512
26.24,1136080
26.29,1138224
26.34,1140448
26.38,1143244
26.46,1145808
26.51,1147952
26.56,1150220
26.62,1152444
26.67,1154544
26.73,1157080
26.78,1159136
26.83,1161188
26.88,1163544
26.94,1165864
26.99,1168032
27.05,1170304
27.1,1172376
27.15,1174664
27.21,1177068
27.26,1179076
27.31,1181412
27.37,1183748
27.42,1185756
27.47,1187980
27.53,1190428
27.58,1192612
27.63,1194648
27.68,1196988
27.74,1199376
27.8,1201656
27.85,1204052
27.9,1206112
27.95,1208204
28.01,1210700
28.06,1212844
28.11,1214908
28.17,1217284
28.22,1219468
28.28,1221984
28.33,1224104
28.38,1226308
28.43,1228384
28.5,1231112
28.55,1233216
28.6,1235280
28.65,1237664
28.71,1239864
28.75,1242016
28.8,1244180
28.86,1246576
28.91,1248592
28.96,1250984
29.02,1253316
29.07,1255284
29.12,1257712
29.15,1259428
29.2,1261608
29.26,1263988
29.31,1266140
29.36,1268112
29.42,1270648
29.47,1272776
29.53,1275300
29.58,1277340
29.63,1279468
29.67,1281384
29.73,1283568
29.78,1285892
29.83,1288052
29.89,1290488
29.94,1292432
30.0,1294896
30.05,1297184
30.1,1299208
30.16,1301664
30.21,1303888
30.26,1305920
30.32,1308340
30.34,1309604
30.38,1311648
30.43,1313756
30.5,1316360
30.55,1318424
30.61,1320920
30.66,1323092
30.7,1325052
30.76,1327392
30.82,1329876
30.86,1331792
30.93,1334380
30.98,1336596
31.03,1338756
31.08,1340964
31.15,1343552
31.2,1345692
31.25,1347968
31.31,1350380
31.37,1352652
31.42,1354736
31.48,1357384
31.52,1359576
31.59,1362264
31.64,1364372
31.7,1366760
31.76,1369280
31.81,1371532
31.87,1373936
31.92,1376144
31.97,1378308
32.03,1380708
32.09,1383044
32.14,1385276
32.2,1387476
32.26,1389936
32.3,1392048
32.33,1393580
32.4,1396308
32.45,1398444
32.5,1400452
32.56,1402884
32.61,1405160
32.66,1407304
32.72,1409816
32.78,1412128
32.84,1414464
32.89,1416716
32.95,1419088
33.0,1421300
33.06,1423608
33.1,1425688
33.16,1427976
33.22,1430252
33.27,1432516
33.32,1434700
33.38,1437148
33.43,1439300
33.48,1441312
33.51,1443308
33.58,1445752
33.64,1448252
33.69,1450492
33.74,1452728
33.8,1455032
33.85,1457164
33.91,1459696
33.97,1462024
34.01,1464112
34.07,1466236
34.13,1468696
34.18,1470792
34.23,1472992
34.28,1475220
34.33,1477444
34.38,1479544
34.44,1481740
34.49,1484052
34.54,1486268
34.6,1488476
34.65,1490744
34.67,1492212
34.72,1494336
34.78,1496764
34.84,1499108
34.89,1501192
34.94,1503540
35.0,1505840
35.06,1508208
35.1,1510208
35.15,1512184
35.21,1514616
35.27,1516956
35.32,1519152
35.37,1521220
35.43,1523560
35.48,1526180
35.54,1528452
35.59,1530628
35.64,1532876
35.7,1535316
35.76,1537608
35.81,1539828
35.88,1542504
35.93,1544688
35.99,1547228
36.04,1549500
36.09,1551628
36.15,1553924
36.21,1556308
36.24,1558356
36.28,1560160
36.34,1562476
36.39,1564552
36.44,1566728
36.5,1569168
36.56,1571532
36.61,1573660
36.64,1575580
36.7,1577856
36.75,1580152
36.81,1582492
36.86,1584668
36.91,1586788
36.97,1589064
37.02,1591448
37.07,1593368
37.12,1595556
37.18,1597844
37.22,1600024
37.28,1602184
37.33,1604408
37.39,1606792
37.45,1609276
37.5,1611536
37.55,1613760
37.6,1615876
37.66,1618284
37.72,1620612
37.76,1622592
37.82,1624868
37.87,1626888
37.93,1629352
37.98,1631540
38.03,1633740
38.08,1635992
38.13,1638096
38.19,1640472
38.25,1642720
38.29,1644768
38.34,1646888
38.4,1649428
38.46,1651612
38.52,1654052
38.57,1656176
38.61,1658368
38.66,1660456
38.72,1662808
38.77,1664944
38.83,1667388
38.89,1669988
38.94,1672064
38.99,1674124
39.05,1676668
39.1,1678936
39.16,1681208
39.21,1683568
39.26,1685568
39.33,1688160
39.39,1690800
39.42,1692480
39.48,1694916
39.53,1697316
39.59,1699768
39.65,1702108
39.71,1704520
39.77,1706864
39.8,1708836
39.85,1711136
39.92,1713776
39.97,1716188
40.03,1718308
40.09,1720996
40.14,1723124
40.19,1725300
40.24,1727376
40.3,1729876
40.36,1732140
40.41,1734196
40.45,1736268
40.52,1738716
40.58,1741232
40.62,1743152
40.68,1745376
40.74,1747828
40.79,1750208
40.84,1752292
40.91,1754852
40.96,1756996
41.01,1760272
41.07,1762544
41.13,1764916
41.18,1767108
41.24,1769508
41.29,1771768
41.34,1773928
41.39,1776396
41.45,1778688
41.51,1781100
41.56,1783356
41.61,1785484
41.67,1787952
41.73,1790232
41.79,1792756
41.84,1795024
41.89,1797100
41.95,1799676
42.02,1802188
42.07,1804304
42.13,1806712
42.18,1809080
42.23,1811240
42.28,1813584
42.34,1816052
42.39,1818064
42.44,1820196
42.5,1822708
42.53,1824608
42.61,1827588
42.66,1829868
42.71,1832000
42.77,1834376
42.83,1836620
42.88,1838752
42.93,1840912
42.98,1843040
43.03,1845224
43.08,1847472
43.15,1850148
43.2,1852356
