X,Micros
0.0,4
0.0,1288
0.0,2568
0.0,3852
0.01,5124
0.01,6460
0.02,7768
0.04,9160
0.06,11156
0.08,12644
0.09,14104
0.1,15432
0.1,16704
0.11,18104
0.13,19552
0.14,20924
0.15,22256
0.16,23584
0.17,24992
0.18,26388
0.19,27788
0.2,29192
0.22,30648
0.22,31976
0.23,33292
0.25,34688
0.26,36068
0.27,37452
0.28,38864
0.29,40264
0.3,41700
0.31,43024
0.32,44420
0.34,45808
0.35,47184
0.36,48564
0.37,50052
0.38,51380
0.39,52756
0.4,54148
0.42,55552
0.43,56940
0.43,58340
0.44,59724
0.45,61108
0.46,62436
0.47,63836
0.48,65224
0.49,66616
0.5,67996
0.52,69380
0.53,70816
0.54,72148
0.55,73536
0.56,74916
0.57,76320
0.59,77708
0.6,79092
0.61,80416
0.62,81808
0.63,83184
0.64,84508
0.65,85952
0.66,87360
0.67,88692
0.68,90156
0.69,91492
0.7,92816
0.72,94236
0.73,95628
0.74,97084
0.75,98520
0.76,99912
0.77,101364
0.78,102700
0.79,104092
0.81,105500
0.82,106832
0.82,108384
0.84,109776
0.85,111212
0.86,112588
0.87,113944
0.88,115360
0.89,116752
0.9,118132
0.92,119620
0.93,121048
0.94,122372
0.95,123792
0.96,125224
0.97,126652
0.98,128032
0.99,129372
1.01,130812
1.02,132192
1.03,133588
1.04,134984
1.05,136436
1.06,137812
1.08,139244
1.09,140624
1.09,141948
1.1,143368
1.12,144692
1.13,146100
1.14,147488
1.15,148880
1.16,150320
1.17,151760
1.18,153084
1.19,154412
1.21,155796
1.22,157188
1.22,158632
1.23,160036
1.25,161444
1.25,162784
1.26,164172
1.28,165668
1.29,167052
1.3,168432
1.31,169832
1.32,171244
1.33,172636
1.34,173964
1.36,175384
1.37,176776
1.38,178160
1.39,179556
1.4,180940
1.41,182268
1.42,183668
1.43,185092
1.44,186484
1.45,187864
1.47,189268
1.48,190648
1.49,192088
1.5,193424
1.51,194828
1.52,196224
1.53,197608
1.55,199004
1.56,200388
1.57,201772
1.58,203144
1.59,204540
1.6,205928
1.61,207312
1.62,208660
1.63,210040
1.64,211420
1.65,212816
1.66,214148
1.67,215528
1.69,216976
1.7,218352
1.71,219792
1.72,221204
1.73,222536
1.74,223868
1.75,225380
1.76,226760
1.77,228156
1.79,229548
1.8,230940
1.81,232380
1.82,233716
1.83,235112
1.84,236508
1.85,237880
1.86,239312
1.88,240688
1.88,242068
1.89,243428
1.9,244748
1.92,246160
1.93,247544
1.94,248988
1.95,250436
1.96,251772
1.97,253160
1.98,254548
2.0,256060
2.01,257432
2.0,258772
2.02,260208
2.03,261592
2.04,262928
2.05,264260
2.06,265692
2.07,267080
2.08,268472
2.1,269868
2.11,271260
2.12,272700
2.13,274032
2.14,275420
2.15,276804
2.16,278200
2.17,279592
2.18,280984
2.19,282380
2.2,283708
2.22,285140
2.23,286572
2.24,287964
2.25,289352
2.26,290860
2.27,292188
2.28,293580
2.3,294996
2.31,296436
2.32,297780
2.33,299204
2.34,300580
2.35,302020
2.36,303356
2.37,304812
2.38,306220
2.4,307612
2.4,309004
2.42,310448
