X,Micros
-1.04,522380
-1.05,523704
-1.05,525000
-1.06,526400
-1.06,527684
-1.06,528956
-1.06,530248
-1.07,531584
-1.07,532924
-1.08,534268
-1.08,535552
-1.08,536828
-1.08,538116
-1.08,539400
-1.08,540672
-1.08,541984
-1.08,543260
-1.09,544592
-1.1,545928
-1.1,547200
-1.1,548484
-1.1,549768
-1.11,551100
-1.11,552460
-1.12,553756
-1.12,555100
-1.12,556384
-1.12,557684
-1.12,558960
-1.12,560276
-1.12,561560
-1.12,562900
-1.12,564172
-1.13,565500
-1.14,566828
-1.14,568164
-1.14,569448
-1.15,570780
-1.15,572068
-1.15,573400
-1.16,574680
-1.16,575968
-1.16,577248
-1.16,578536
-1.16,579816
-1.16,581104
-1.16,582452
-1.16,583792
-1.17,585192
-1.18,586528
-1.18,587860
-1.18,589136
-1.19,590448
-1.19,591732
-1.2,593076
-1.2,594400
-1.2,595692
-1.2,596976
-1.2,598252
-1.2,599532
-1.2,600880
-1.2,602224
-1.21,603560
-1.21,604912
-1.22,606240
-1.22,607572
-1.22,608924
-1.23,610260
-1.23,611600
-1.24,612892
-1.24,614180
-1.24,615456
-1.24,616744
-1.24,618092
-1.24,619376
-1.24,620664
-1.24,621940
-1.25,623500
-1.25,625172
-1.25,626516
-1.26,627848
-1.26,629188
-1.26,630484
-1.27,631772
-1.27,633048
-1.27,634380
-1.27,635728
-1.27,637012
-1.27,638352
-1.27,639644
-1.28,640952
-1.28,642240
-1.28,643576
-1.29,644912
-1.29,646240
-1.3,647580
-1.3,648860
-1.3,650144
-1.31,651484
-1.31,652760
-1.31,654048
-1.32,655388
-1.32,656676
-1.31,657952
-1.31,659232
-1.32,660528
-1.32,661812
-1.32,663096
-1.33,664432
-1.33,665776
-1.34,667120
-1.34,668404
-1.34,669688
-1.34,671020
-1.35,672372
-1.35,673660
-1.36,675004
-1.36,676288
-1.35,677572
-1.35,678848
-1.35,680168
-1.35,681452
-1.36,682792
-1.36,684132
-1.37,685484
-1.37,686764
-1.38,688144
-1.38,689420
-1.38,690800
-1.39,692080
-1.39,693428
-1.39,694704
-1.39,695996
-1.39,697336
-1.39,698612
-1.39,699888
-1.39,701240
-1.39,702516
-1.4,703804
-1.41,705180
-1.41,706508
-1.42,707808
-1.42,709124
-1.42,710408
-1.42,711748
-1.43,713092
-1.43,714432
-1.43,715716
-1.43,716996
-1.43,718268
-1.43,719552
-1.43,720828
-1.43,722108
-1.44,723392
-1.44,724724
-1.45,726112
-1.45,727392
-1.45,728740
-1.46,730084
-1.46,731364
-1.47,732704
-1.47,734052
-1.47,735328
-1.47,736612
-1.47,737964
-1.47,739240
-1.47,740584
-1.47,741860
-1.48,743148
-1.48,744480
-1.49,745808
-1.5,747196
-1.5,748472
-1.5,749756
-1.5,751036
-1.51,752436
-1.51,753776
-1.51,755052
-1.51,756344
-1.51,757620
-1.51,758908
-1.51,760192
-1.52,761472
-1.52,762748
-1.52,764076
-1.53,765408
-1.54,766788
-1.54,768068
-1.54,769348
-1.54,770632
-1.55,771976
-1.55,773316
-1.55,774660
-1.55,775952
-1.55,777228
-1.55,778512
-1.55,779796
-1.55,781080
-1.56,782388
-1.56,783664
-1.57,785012
-1.57,786340
-1.58,787676
-1.58,788948
-1.58,790244
-1.58,791528
-1.59,792860
-1.59,794192
-1.6,795540
-1.59,796812
-1.59,798100
-1.59,799384
-1.6,800724
-1.6,802000
-1.6,803340
-1.61,804672
-1.61,806016
-1.62,807352
-1.62,808644
-1.62,809984
-1.63,811264
-1.63,812608
-1.63,813944
-1.64,815284
-1.64,816572
-1.63,817920
-1.63,819196
-1.64,820472
-1.64,821756
-1.65,823048
-1.65,824432
-1.65,825772
-1.66,827112
-1.66,828388
-1.66,829672
-1.67,831008
-1.67,832304
-1.68,833640
-1.68,834984
-1.68,836312
-1.67,837588
-1.67,838876
-1.68,840160
-1.68,841452
-1.68,842784
-1.69,844128
-1.69,845476
-1.7,846812
-1.7,848152
-1.7,849492
-1.7,850780
-1.71,852084
-1.71,853420
-1.72,854704
-1.72,855988
-1.71,857264
-1.71,858552
-1.71,859836
-1.72,861112
-1.72,862388
-1.72,863780
-1.73,865128
-1.74,866472
-1.74,867748
-1.74,869096
-1.74,870368
-1.75,871708
-1.75,873052
-1.76,874388
-1.76,875672
-1.75,876948
-1.75,878296
-1.75,879576
-1.75,880852
-1.76,882124
-1.76,883468
-1.77,884808
-1.77,886152
-1.78,887488
-1.78,888764
-1.78,890052
-1.79,891392
-1.79,892684
-1.79,893964
-1.79,895252
-1.79,896528
-1.79,897820
-1.79,899096
-1.79,900372
-1.8,901648
-1.8,902936
-1.8,904280
-1.81,905624
-1.82,906968
-1.82,908348
-1.82,909628
-1.82,910912
-1.83,912260
-1.83,913532
-1.84,914808
-1.84,916100
-1.83,917376
-1.83,918664
-1.84,919944
-1.84,921228
-1.84,922504
-1.85,923844
-1.85,925188
-1.86,926540
-1.86,927816
-1.86,929096
-1.86,930380
-1.87,931676
-1.87,932948
-1.88,934220
-1.88,935508
-1.87,936792
-1.87,938076
-1.88,939360
-1.88,940652
-1.88,941928
-1.88,943216
-1.89,944556
-1.9,945960
-1.9,947244
-1.9,948520
-1.9,949800
-1.91,951144
-1.91,952504
-1.92,953788
-1.92,955080
-1.91,956420
-1.91,957708
-1.91,958984
-1.92,960264
-1.92,961540
-1.92,962824
-1.93,964168
-1.93,965500
-1.94,966840
-1.94,968180
-1.94,969524
-1.95,970808
-1.95,972144
-1.95,973488
-1.96,974764
-1.96,976052
-1.95,977328
-1.95,978620
-1.95,979912
-1.96,981256
-1.96,982536
-1.97,983888
-1.97,985232
-1.98,986576
-1.98,987856
-1.98,989140
-1.98,990424
-1.99,991760
-2.0,993112
-2.0,994388
-2.0,995664
-1.99,996956
-1.99,998252
-1.99,999528
-2.0,1000804
-2.0,1002160
-2.0,1003480
-2.01,1004804
-2.01,1006140
-2.02,1007476
-2.02,1008760
-2.02,1010040
-2.03,1011332
-2.03,1012620
-2.03,1013896
-2.03,1015236
-2.03,1016520
-2.03,1017804
-2.03,1019084
-2.03,1020392
-2.03,1021684
-2.04,1023016
-2.05,1024412
-2.05,1025704
-2.05,1026988
-2.05,1028260
-2.06,1029544
-2.06,1030888
-2.07,1032264
-2.07,1033544
-2.07,1034892
-2.07,1036176
-2.07,1037452
-2.07,1038728
-2.07,1040020
-2.07,1041364
-2.08,1042752
-2.08,1044036
-2.09,1045444
-2.09,1046780
