X,Micros
0.0,4
0.0,1252
0.0,2516
0.0,3756
0.02,5104
0.04,7984
0.03,9232
0.03,10540
0.05,11852
0.1,13856
0.13,15688
0.15,17168
0.17,18700
0.19,20112
0.22,21616
0.24,23248
0.27,24876
0.29,26384
0.32,27896
0.34,29428
0.37,30932
0.39,32460
0.42,34084
0.44,35696
0.47,37328
0.5,38960
0.52,40492
0.55,42052
0.57,43624
0.6,45220
0.63,47144
0.64,48392
0.66,49936
0.69,51472
0.71,53000
0.74,54700
0.77,56276
0.79,57792
0.82,59400
0.84,60920
0.87,62480
0.89,64096
0.92,65672
0.95,67248
0.97,68880
0.99,70404
1.02,71980
1.04,73268
1.07,74904
1.09,76368
1.12,77980
1.14,79564
1.17,81180
1.19,82724
1.22,84412
1.25,86076
1.27,87652
1.29,89172
1.32,90728
1.35,92300
1.37,93888
1.4,95492
1.41,97008
1.42,98268
1.45,99792
1.47,101304
1.5,102940
1.53,104572
1.55,106152
1.58,107700
1.6,109240
1.62,110768
1.65,112300
1.67,113896
1.7,115512
1.73,117056
1.75,118644
1.77,120192
1.8,122032
1.82,123324
1.85,124920
1.87,126476
1.9,128160
1.93,129732
1.95,131304
1.98,132828
2.0,134452
2.03,136080
2.05,137648
2.08,139224
2.1,140736
2.13,142320
2.15,143908
2.18,145548
2.2,147124
2.23,148812
2.25,150328
2.28,151912
2.3,153508
2.33,155080
2.35,156660
2.38,158300
2.41,159876
2.43,161428
2.46,163040
2.48,164616
2.51,166192
2.53,167828
2.56,169408
2.58,170960
2.61,172456
2.63,174112
2.66,175680
2.69,177196
2.71,178732
2.73,180312
2.76,181876
2.79,183512
2.81,185084
2.84,186652
2.86,188300
2.89,189840
2.91,191304
2.94,192948
2.96,194444
2.99,196012
3.01,197808
3.03,199380
3.05,200952
3.08,202492
3.11,204116
3.13,205732
3.16,207240
3.18,208876
3.21,210396
3.23,211964
3.26,213508
3.28,215060
3.31,216628
3.33,218252
3.36,219760
3.38,221276
3.38,222624
3.41,224368
3.44,225936
3.46,227456
3.49,229040
3.51,230560
3.54,232104
3.56,233728
3.59,235288
3.61,236848
3.64,238412
3.66,239928
3.69,241492
3.71,243092
3.73,244548
3.76,246136
3.79,247876
3.81,249408
3.84,250924
3.86,252476
3.89,254012
3.91,255584
3.94,257108
3.96,258676
3.99,260252
4.01,261768
4.03,263336
4.06,264880
4.09,266504
4.11,268124
4.13,269584
4.16,271124
4.19,272812
4.21,274324
4.23,275904
4.26,277444
4.28,279028
4.31,280584
4.33,282092
4.36,283624
4.38,285140
4.41,286772
4.43,288396
4.46,289912
4.48,291488
4.51,293028
4.53,294480
4.55,296048
4.58,297628
4.6,299260
4.63,300812
4.65,302380
4.68,303908
4.7,305488
4.73,307056
4.75,308632
4.78,310224
4.8,311792
4.83,313368
4.85,314880
4.88,316480
4.9,318048
4.92,319512
4.95,321136
4.97,322728
5.0,324400
5.02,325968
5.05,327528
5.07,329124
5.09,330640
5.12,332204
5.15,333868
5.17,335424
5.2,336944
5.22,338492
5.24,340032
5.27,341548
5.29,343124
5.32,344636
5.34,346212
5.35,347728
5.37,349248
5.4,350780
5.42,352336
5.45,354008
5.47,355496
5.5,357016
5.52,358640
5.55,360172
5.57,361744
5.6,363320
5.62,364896
5.65,366476
5.67,367988
5.7,369504
5.72,371048
5.75,372640
5.77,374152
5.8,375668
5.82,377244
5.85,378828
5.87,380348
5.89,381924
5.92,383536
5.95,385124
5.97,386696
6.0,388216
6.02,389720
6.05,391368
6.07,392932
6.1,394448
6.12,396012
6.15,397596
6.17,399108
6.19,400572
6.22,402084
6.24,403752
6.27,405272
6.29,406876
6.32,408428
6.34,409952
6.37,411536
6.39,413048
6.42,414612
6.44,416208
6.47,417728
6.49,419308
6.52,420868
6.53,422428
6.54,423684
6.57,425364
6.6,426940
6.63,428552
6.65,430068
6.67,431624
6.7,433136
6.72,434696
6.75,436272
6.77,437776
6.8,439300
6.82,440856
6.85,442372
6.87,443996
6.9,445504
6.92,447012
6.94,448380
6.97,449992
6.99,451540
7.02,453080
7.04,454620
7.07,456292
7.1,457892
7.12,459340
7.14,460900
7.17,462424
7.19,463996
7.22,465536
7.24,467088
7.27,468660
7.29,470176
7.31,471732
7.33,473180
7.36,474816
7.38,476336
7.41,477860
7.43,479372
7.46,481004
7.48,482532
7.51,484036
7.53,485544
7.55,487052
7.58,488660
7.61,490188
7.63,491752
7.66,493312
7.68,494860
7.7,496740
7.71,498008
7.74,499576
7.77,501204
7.79,502772
7.82,504296
7.84,505808
7.87,507440
7.89,509008
7.92,510568
7.94,512104
7.97,513692
7.99,515264
8.02,516804
8.05,518432
8.07,519940
8.1,521504
8.12,522988
8.14,524548
8.17,526064
8.19,527640
8.22,529196
8.24,530780
8.27,532300
8.29,533868
8.32,535504
8.34,536956
8.37,538476
8.39,539992
8.42,541516
8.44,543160
8.47,544692
8.49,546308
8.51,547668
8.53,549228
8.56,550732
8.58,552308
8.61,553812
8.63,555372
8.66,556880
8.68,558464
8.71,560036
8.73,561512
8.76,563168
8.79,564764
8.81,566340
8.83,567844
8.86,569300
8.88,570880
8.9,572544
8.92,574160
8.95,575672
8.98,577348
9.0,578916
9.02,580468
9.05,581980
9.08,583572
9.1,585180
9.13,586732
9.15,588284
9.18,589856
9.2,591400
9.23,592964
9.25,594564
9.27,596132
9.29,597492
9.31,598984
9.33,600500
9.36,602076
9.39,603704
9.42,605272
9.44,606816
9.46,608348
9.49,609864
9.51,611488
9.54,613044
9.56,614560
9.59,616076
9.62,617700
9.64,619168
9.66,620660
9.67,622000
9.7,623656
9.73,625272
9.75,626792
9.77,628332
9.8,629868
9.82,631432
9.85,633056
9.88,634620
9.9,636164
9.93,637844
9.95,639408
9.98,640988
10.0,642500
10.03,644060
10.05,645616
10.08,647348
10.1,648904
10.13,650424
10.15,651988
10.18,653512
10.2,655068
10.23,656656
10.25,658180
10.28,659696
10.3,661256
10.33,662840
10.35,664368
10.38,665928
10.41,667604
10.43,669056
10.45,670544
10.47,672288
10.5,673952
10.52,675472
10.55,677156
10.57,678724
10.6,680252
10.62,681744
10.65,683272
10.67,684788
10.7,686308
10.72,687924
10.75,689500
10.77,691064
10.8,692632
10.82,694140
10.85,695716
10.87,697292
10.9,698800
10.92,700348
10.94,701920
10.97,703484
11.0,705036
11.02,706604
11.05,708180
11.07,709784
11.1,711292
11.12,712804
11.14,714332
11.17,715856
11.2,717512
11.22,719024
11.24,720480
11.27,722144
11.29,723648
11.32,725220
11.35,726840
11.37,728420
11.39,729944
11.42,731460
11.44,732972
11.47,734500
11.49,736072
11.52,737696
11.54,739148
11.57,740740
11.59,742332
11.62,743840
11.64,745412
11.66,746740
11.68,748364
11.71,749884
11.73,751448
11.75,752968
11.78,754540
11.8,756092
11.83,757704
11.86,759268
11.88,760852
11.91,762400
11.93,763920
11.95,765488
11.98,767004
12.0,768520
12.03,770096
12.04,771616
12.06,773204
12.09,774760
12.11,776276
12.14,777888
12.16,779440
12.19,780908
12.21,782476
12.24,784036
12.26,785620
12.29,787204
12.31,788768
12.34,790304
12.36,791824
12.39,793444
12.41,794956
12.43,796512
12.46,798232
12.49,799748
12.51,801256
12.53,802820
12.56,804404
12.58,805968
12.61,807552
12.63,809044
12.66,810616
12.68,812140
12.71,813756
12.73,815332
12.76,816844
12.78,818380
12.81,819904
12.82,821424
12.84,822712
12.87,824324
12.9,825884
12.92,827444
12.95,828976
12.97,830516
12.99,832028
13.02,833596
13.04,835164
13.07,836736
13.1,838344
13.12,839808
13.14,841320
13.17,842928
13.19,844500
13.22,846060
13.24,847700
13.27,849268
13.29,850788
13.32,852352
13.34,853864
13.37,855548
13.4,857096
13.42,858644
13.44,860164
13.47,861680
13.49,863252
13.52,864804
13.54,866312
13.57,867876
13.59,869420
13.61,870864
13.64,872496
13.66,874060
13.69,875628
13.71,877148
13.74,878656
13.76,880192
13.79,881776
13.81,883384
13.84,884892
13.86,886448
13.89,888052
13.91,889528
13.93,891056
13.96,892668
13.99,894256
14.01,895824
14.04,897500
14.06,899016
14.09,900552
14.11,902016
14.14,903624
14.16,905232
14.19,906752
14.21,908272
14.24,909824
14.26,911380
14.29,912952
14.31,914496
14.34,916048
14.36,917628
14.39,919160
14.41,920684
14.42,922124
14.45,923852
14.47,925468
14.5,927032
14.52,928544
14.55,930060
14.57,931628
14.6,933248
14.62,934784
14.65,936308
14.68,938000
14.7,939516
14.72,940968
14.75,942544
14.77,944116
14.8,945676
14.81,947000
14.84,948592
14.86,950144
14.89,951716
14.91,953296
14.94,954908
14.96,956368
14.99,957988
15.01,959508
15.04,961072
15.07,962720
15.09,964264
15.11,965800
15.14,967316
15.16,968888
15.19,970448
15.21,972128
15.24,973632
15.26,975208
15.29,976716
15.31,978308
15.34,979868
15.36,981392
15.39,982976
15.41,984536
15.44,986080
15.46,987584
15.48,989116
15.51,990620
15.54,992236
15.56,993792
15.59,995432
15.61,996888
15.64,998484
15.66,999984
15.69,1001552
15.71,1003112
15.74,1004732
15.76,1006256
15.79,1007824
15.81,1009328
15.84,1010872
15.86,1012436
15.89,1013968
15.91,1015476
15.94,1017044
15.96,1018512
15.98,1020040
16.0,1021504
16.02,1023192
16.05,1024752
16.07,1026324
16.1,1027856
16.12,1029376
16.15,1030920
16.17,1032512
16.2,1034088
16.23,1035716
16.25,1037340
16.27,1038848
16.3,1040372
16.33,1041980
16.35,1043560
16.38,1045088
16.38,1046712
16.41,1048276
16.43,1049800
16.46,1051320
16.49,1052964
16.51,1054532
16.54,1056052
16.56,1057636
16.58,1059160
16.61,1060640
16.64,1062320
16.66,1063860
16.69,1065440
16.71,1067032
16.74,1068548
16.76,1070088
16.77,1071672
16.8,1073320
16.83,1074836
16.85,1076404
16.88,1077964
16.9,1079488
16.93,1080972
16.95,1082568
16.98,1084136
17.01,1085736
17.03,1087280
17.05,1088744
17.08,1090316
17.1,1091928
17.13,1093460
17.16,1095188
17.17,1096436
17.2,1098012
17.22,1099544
17.25,1101088
17.27,1102652
17.3,1104224
17.32,1105724
17.35,1107352
17.37,1108816
17.4,1110396
17.42,1111960
17.45,1113468
17.47,1115048
17.5,1116664
17.52,1118164
17.55,1119676
17.56,1121080
17.59,1122760
17.61,1124280
17.64,1125824
17.67,1127476
17.69,1129036
17.72,1130524
17.74,1132044
17.77,1133608
17.79,1135120
17.82,1136736
17.84,1138184
17.86,1139692
17.89,1141216
17.91,1142732
17.94,1144256
17.95,1145804
17.98,1147308
18.0,1148844
18.02,1150352
18.05,1152016
18.08,1153624
18.1,1155204
18.13,1156756
18.15,1158204
18.17,1159736
18.2,1161324
18.22,1162820
18.25,1164384
18.28,1165936
18.3,1167512
18.33,1169088
18.35,1170620
18.37,1172228
18.4,1173816
18.43,1175376
18.45,1177008
18.48,1178456
18.5,1179996
18.53,1181580
18.55,1183096
18.57,1184672
18.6,1186244
18.63,1187796
18.65,1189388
18.68,1190948
18.7,1192500
18.73,1194068
18.73,1195584
18.76,1197156
18.79,1198784
18.81,1200348
18.84,1201848
18.86,1203412
18.89,1204968
18.92,1206648
18.94,1208152
18.96,1209608
18.99,1211204
19.01,1212792
19.04,1214416
19.06,1215920
19.09,1217456
19.11,1219036
19.13,1220548
19.16,1222176
19.19,1223764
19.21,1225248
19.24,1226884
19.26,1228408
19.29,1229944
19.31,1231508
19.33,1233016
19.36,1234520
19.38,1236104
19.41,1237700
19.43,1239208
19.46,1240752
19.48,1242280
19.51,1243900
19.53,1245464
19.56,1247020
19.58,1248540
19.61,1250052
19.63,1251652
19.66,1253152
19.68,1254664
19.71,1256232
19.73,1257744
19.75,1259288
19.78,1260836
19.8,1262356
19.83,1263924
19.85,1265484
19.88,1267052
19.9,1268632
19.93,1270152
19.95,1271652
19.97,1273112
20.0,1274732
20.03,1276364
20.05,1277936
20.07,1279396
20.1,1280936
20.12,1282512
20.15,1284064
20.17,1285616
20.2,1287248
20.22,1288752
20.25,1290276
20.27,1291844
20.3,1293400
20.32,1294904
20.35,1296644
20.37,1298196
20.4,1299764
20.42,1301276
20.45,1302892
20.47,1304392
20.5,1305944
20.52,1307540
20.55,1309084
20.57,1310568
20.6,1312216
20.62,1313788
20.65,1315300
20.67,1316968
20.7,1318432
20.72,1319948
20.74,1321548
